fi_id_cou;ser_nameshort;fi_date;fi_year;ge_stage;lengthmm;weightg;fi_comment
228605;VilTG;2014-05-05;2014;VIA4;70;0.231;
228606;VilTG;2014-05-05;2014;VIA4;67;0.193;
228600;VilTG;2014-05-05;2014;VIA4;69;0.202;
228599;VilTG;2014-05-05;2014;VIA3;67;0.207;
228598;VilTG;2014-05-05;2014;VIA3;72.5;0.303;
228580;VilTG;2014-05-05;2014;VIA4;75;0.243;
228588;VilTG;2014-05-05;2014;VIA3;74;0.252;
228587;VilTG;2014-05-05;2014;VIA3;65;0.202;
228579;VilTG;2014-05-05;2014;VIA4;69;0.231;
228607;VilTG;2014-05-05;2014;VIA4;77.5;0.273;
228597;VilTG;2014-05-05;2014;VIA4;65;0.19;
228593;VilTG;2014-05-05;2014;VIA2;66;0.182;
228596;VilTG;2014-05-05;2014;VIA4;70.5;0.225;
228578;VilTG;2014-05-05;2014;VIA4;76.5;0.268;
228592;VilTG;2014-05-05;2014;VIA4;68;0.222;
228573;VilTG;2014-05-05;2014;VIA2;70;0.233;
228577;VilTG;2014-05-05;2014;VIA1;72.5;0.311;
228612;VilTG;2014-05-05;2014;VIA4;65;0.176;
228608;VilTG;2014-05-05;2014;VIA4;73;0.243;
228576;VilTG;2014-05-05;2014;VIA3;72;0.233;
228609;VilTG;2014-05-05;2014;VIA4;67.5;0.217;
228575;VilTG;2014-05-05;2014;VIA4;73;0.238;
228574;VilTG;2014-05-05;2014;VIA4;70.5;0.181;
228586;VilTG;2014-05-05;2014;VIA2;70;0.245;
228585;VilTG;2014-05-05;2014;VIA4;75.5;0.316;
228595;VilTG;2014-05-05;2014;VIA4;68;0.238;
228584;VilTG;2014-05-05;2014;VIA4;65;0.188;
229753;VilTG;2014-07-15;2014;VIA3;64;0.168;
229797;VilTG;2014-07-15;2014;VIA3;63;0.183;
229782;VilTG;2014-07-15;2014;VIA3;64;0.167;
229783;VilTG;2014-07-15;2014;VIA2;69;0.197;
229784;VilTG;2014-07-15;2014;VIA4;63;0.166;
229770;VilTG;2014-07-15;2014;VIA1;65;0.217;
229764;VilTG;2014-07-15;2014;VIA3;64.5;0.203;
229757;VilTG;2014-07-15;2014;VIA4;69;0.196;
229785;VilTG;2014-07-15;2014;VIA4;63.5;0.16;
229786;VilTG;2014-07-15;2014;VIA3;66;0.189;
229759;VilTG;2014-07-15;2014;VIA2;60;0.155;
229787;VilTG;2014-07-15;2014;VIA4;67;0.213;
229796;VilTG;2014-07-15;2014;VIA4;69;0.224;
229758;VilTG;2014-07-15;2014;VIA4;65.5;0.153;
229769;VilTG;2014-07-15;2014;VIA3;64;0.152;
229752;VilTG;2014-07-15;2014;VIA4;60.5;0.121;
229795;VilTG;2014-07-15;2014;VIA3;67;0.211;
229788;VilTG;2014-07-15;2014;VIA3;64;0.151;
229750;VilTG;2014-07-15;2014;VIA3;64.5;0.206;
229789;VilTG;2014-07-15;2014;VIA2;69.5;0.19;
229768;VilTG;2014-07-15;2014;VIA4;68.5;0.169;
229767;VilTG;2014-07-15;2014;VIA4;65;0.18;
229766;VilTG;2014-07-15;2014;VIA4;66.5;0.162;
229761;VilTG;2014-07-15;2014;VIA1;67;0.198;
229765;VilTG;2014-07-15;2014;VIA3;60.5;0.15;
229794;VilTG;2014-07-15;2014;VIA2;63;0.175;
