date;year;length;weight;stage;age;trap count;total count;;;;;;
31-05-1996;1996;61.95;0.170;5;0;NA;NA;;;;;;
31-05-1996;1996;66.48;0.190;5;0;NA;NA;;;;;;
31-05-1996;1996;59.06;0.150;6;0;NA;NA;;;;;;
31-05-1996;1996;56.33;0.120;4;0;NA;NA;;;;;;
31-05-1996;1996;63.53;0.190;4;0;NA;NA;;;;;;
31-05-1996;1996;72.65;0.290;3;0;NA;NA;;;;;;
31-05-1996;1996;60.13;0.150;3;0;NA;NA;;;;;;
31-05-1996;1996;55.06;0.120;4;0;NA;NA;;;;;;
31-05-1996;1996;62.70;0.180;3;0;NA;NA;;;;;;
31-05-1996;1996;59.16;0.170;4;0;NA;NA;;;;;;
31-05-1996;1996;61.92;0.170;5;0;NA;NA;;;;;;
31-05-1996;1996;65.26;0.210;3;0;NA;NA;;;;;;
31-05-1996;1996;59.31;0.170;5;0;NA;NA;;;;;;
31-05-1996;1996;60.86;0.170;3;0;NA;NA;;;;;;
31-05-1996;1996;60.53;0.180;4;0;NA;NA;;;;;;
31-05-1996;1996;63.80;0.190;3;0;NA;NA;;;;;;
31-05-1996;1996;61.93;0.170;4;0;NA;NA;;;;;;
31-05-1996;1996;68.54;0.310;4;0;NA;NA;;;;;;
31-05-1996;1996;59.50;0.160;6;0;NA;NA;;;;;;
31-05-1996;1996;58.98;0.150;3;0;NA;NA;;;;;;
31-05-1996;1996;71.76;0.270;4;0;NA;NA;;;;;;
31-05-1996;1996;65.87;0.200;3;0;NA;NA;;;;;;
31-05-1996;1996;59.53;0.150;5;0;NA;NA;;;;;;
31-05-1996;1996;68.35;0.260;3;0;NA;NA;;;;;;
31-05-1996;1996;72.33;0.270;5;0;NA;NA;;;;;;
31-05-1996;1996;55.39;0.120;3;0;NA;NA;;;;;;
